Method,Seed,Test_Index,True_Linker,Generated_Linker,MACCS_Similarity,MCS_Similarity,Validity,Novelty,Property_Error,Threshold_Match_0.50,Threshold_Match_0.60,Threshold_Match_0.70,Threshold_Match_0.85,Threshold_Match_0.90
Self-RAG,123,347,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2O)c(O)c1,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,0.581,0.902,YES,YES,3.4423,YES,YES,YES,YES,YES
Self-RAG,123,348,O=C([O-])c1nccnc1C(=O)[O-],O=C([O-])c1cccnc1C(=O)[O-],0.88,0.3,YES,NO,1.2131,YES,YES,YES,YES,NO
Self-RAG,123,349,COc1cc(C(=O)[O-])ccc1C#Cc1cc(OC)c(C(=O)[O-])cc1-c1ccccc1,CCC=C1C=c2c(C(=O)[O-])cccc2=CC=C1C(=O)[O-],0.417,0.292,YES,YES,1.865,NO,NO,NO,NO,NO
Self-RAG,123,350,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2c(F)c(F)c(F)c(F)c12,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c(F)c1F,0.818,0.625,YES,YES,0.73,YES,YES,YES,NO,NO
Self-RAG,123,351,O=C([O-])c1cnc(C(=O)[O-])cn1,O=C([O-])c1ccc(C(=O)[O-])o1,0.429,0.3,YES,YES,1.2514,NO,NO,NO,NO,NO
Self-RAG,123,352,O=C([O-])c1ccc(Oc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2)cc1,O=C([O-])c1ccc(Oc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2)cc1,1.0,1.0,YES,YES,0.5473,YES,YES,YES,YES,YES
Self-RAG,123,353,O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1,O=C([O-])c1ccc(-c2cc(-c3ccc(C(=O)[O-])cc3)cc(-c3ccc(C(=O)[O-])cc3)c2)cc1,1.0,0.451,YES,YES,1.179,YES,YES,YES,YES,YES
Self-RAG,123,354,O=C([O-])c1cc(F)c(C(=O)[O-])cc1F,O=C([O-])c1cc(F)c(C(=O)[O-])cc1F,1.0,1.0,YES,YES,1.4612,YES,YES,YES,YES,YES
Self-RAG,123,355,[CH](NN[CH]c1ccncc1)c1ccncc1,c1cn(CCCCn2ccnc2)cn1,0.278,0.037,YES,YES,1.4591,NO,NO,NO,NO,NO
Self-RAG,123,356,O=C([O-])c1ccccc1C(=O)O,O=C([O-])c1ccc(C(=O)[O-])cc1,0.8,0.75,YES,NO,3.0335,YES,YES,YES,NO,NO
Self-RAG,123,357,CC(CCC(=O)[O-])C(=O)[O-],O=C([O-])C=CC=CC(=O)[O-],0.529,0.373,YES,YES,2.1182,YES,NO,NO,NO,NO
Self-RAG,123,358,O=C([O-])c1cc(S(O)(O)O)c(C(=O)[O-])c2c1CC2,O=C([O-])c1cc(Cl)c(C(=O)[O-])c2c1CC2,0.422,0.782,YES,YES,3.699,YES,YES,YES,NO,NO
Self-RAG,123,359,CNC1(F)CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2,CCC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,123,360,Cc1nccn1Cc1ccncc1,c1cc(-c2nnc(-c3ccncc3)[nH]2)ccn1,0.472,0.338,YES,YES,1.6175,NO,NO,NO,NO,NO
Self-RAG,123,361,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,O=C(c1ccncc1)c1cccnc1,0.345,0.087,YES,NO,1.1553,NO,NO,NO,NO,NO
Self-RAG,123,362,c1cncnc1,c1cncnc1,1.0,1.0,YES,YES,0.9177,YES,YES,YES,YES,YES
Self-RAG,123,363,CCC12C3C4(C(=O)[O-])C5(CC)C(C1(C(=O)[O-])C35[N+](=O)[O-])C24[N+](=O)[O-],N#CC12C3C4([N+](=O)[O-])C5(C#N)C(C14[N+](=O)[O-])C2([N+](=O)[O-])C35[N+](=O)[O-],0.767,0.0,YES,YES,1.5276,YES,YES,YES,NO,NO
Self-RAG,123,364,O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],0.778,0.541,YES,NO,1.5116,YES,YES,YES,NO,NO
Self-RAG,123,365,c1cn(-c2ccc(NNc3ccc(-n4ccnc4)cc3)cc2)cn1,c1cc(-c2ccc(-c3ccnnc3)cc2)cnn1,0.455,0.239,YES,YES,1.8752,NO,NO,NO,NO,NO
Self-RAG,123,366,Nc1cc(C#Cc2cc(N)c(C(=O)[O-])c(N)c2)cc(N)c1C(=O)[O-],Nc1cc(-c2cc(-c3cc(N)c(C(=O)[O-])c(N)c3)cc(-c3cc(N)c(C(=O)[O-])c(N)c3)c2)cc(N)c1C(=O)[O-],0.933,0.274,YES,YES,6.7591,YES,YES,YES,YES,YES
Self-RAG,123,367,CCc1cc2c(cc(CC)c3ccc(C(=O)[O-])c(F)c32)c2cc(C(=O)[O-])ccc12,CCc1cc2cc(C(=O)[O-])cc3c(CC)cc4cc(C(=O)[O-])cc1c4c23INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,123,368,O=C(O)c1cccc(Oc2cccc(C(=O)O)c2C(=O)[O-])c1.O=C(O)c1cccc(Oc2cccc(C(=O)O)c2C(=O)[O-])c1,O=C([O-])c1ccc(Oc2ccc(C(=O)[O-])cc2)cc1,0.396,0.299,YES,YES,1.7332,NO,NO,NO,NO,NO
Self-RAG,123,369,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)O)CC(=O)O,O=C([O-])CNCC(=O)N(CC(=O)[O-])CC(=O)[O-],0.684,0.586,YES,YES,0.6692,YES,YES,NO,NO,NO
Self-RAG,123,370,c1ccc(SSc2ccccn2)nc1,c1cnc(SCSc2ncccn2)nc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,123,371,Nc1ccc(C=Cc2ccc(N)cc2S(O)(O)O)c(S(O)(O)O)c1,O=P(O)(O)c1ccccc1,0.395,0.246,YES,YES,0.706,NO,NO,NO,NO,NO
Self-RAG,123,372,O=C([O-])c1cc(C(=O)[O-])c(C(=O)O)cc1C(=O)O,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,1.0,1.0,YES,YES,1.0748,YES,YES,YES,YES,YES
Self-RAG,123,373,O=C(Nc1cccnc1)c1ccc(C(=O)Nc2cccnc2)s1,O=C([O-])c1cc(S(O)(O)O)cc(S(O)(O)O)c1,0.164,0.11,YES,YES,1.9888,NO,NO,NO,NO,NO
Self-RAG,123,374,NC1=N[CH]NN1,Cn1nn[nH]c1=S,0.413,0.0,YES,YES,3.2333,NO,NO,NO,NO,NO
Self-RAG,123,375,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,1.0,1.0,YES,YES,1.4845,YES,YES,YES,YES,YES
Self-RAG,123,376,O=[N+]([O-])c1cncc([N+](=O)[O-])c1C#Cc1c([N+](=O)[O-])cncc1[N+](=O)[O-],O=[N+]([O-])c1cncc([N+](=O)[O-])c1C#Cc1c([N+](=O)[O-])cncc1[N+](=O)[O-],1.0,1.0,YES,YES,1.812,YES,YES,YES,YES,YES
Self-RAG,123,377,O=C([O-])C(O)=C(O)C(=O)[O-],NC(C(=O)[O-])=C(N)C(=O)[O-],0.481,0.791,YES,NO,1.6845,YES,YES,YES,NO,NO
Self-RAG,123,378,C(#C[Si](C#Cc1cn[nH]c1)(C#CC1C=NN=C1)C#CC1C=NN=C1)C1=CN=N[CH]1,C(#CC(C#Cc1cn[nH]c1)(C#CC1C=NN=C1)C#CC1C=NN=C1)c1cn[nH]c1,0.656,0.232,YES,YES,4.4969,YES,YES,NO,NO,NO
Self-RAG,123,379,O=C([O-])CN1[CH]C=C(c2nnn[nH]2)C=C1,O=C([O-])c1cccc(C(=O)O)n1,0.327,0.17,YES,NO,2.1536,NO,NO,NO,NO,NO
Self-RAG,123,380,Nc1ccccc1S,c1cc(Sc2ccncc2)ccn1,0.308,0.046,YES,NO,0.9233,NO,NO,NO,NO,NO
Self-RAG,123,381,O=C([O-])c1nc(-c2ccc3ccccc3c2)[nH]c1C(=O)[O-],O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,0.429,0.276,YES,YES,1.3488,NO,NO,NO,NO,NO
Self-RAG,123,382,O=C(O)c1ccc(-c2ccc(-c3ccc(C(=O)O)cc3C(=O)[O-])cc2)c(C(=O)[O-])c1,O=C([O-])c1cc(C(=O)[O-])cc(-c2ccc(C(=O)O)cc2)c1,0.842,0.5,YES,YES,1.7818,YES,YES,YES,NO,NO
Self-RAG,123,383,c1ccc(-c2cc(-c3ccncc3)nc(-c3ccncc3)c2)nc1,C=CC=CC=C1C=CC=C(c2ccncc2)C=NC=C2NC=C(N=C1)C(=CC)c1cnccc12,0.467,0.199,YES,YES,3.7653,NO,NO,NO,NO,NO
Self-RAG,123,384,CSc1nccs1,CSc1nnn[nH]1,0.6,0.371,YES,YES,1.699,YES,YES,NO,NO,NO
Self-RAG,123,385,O=C([O-])C1CCC(C(=O)[O-])CC1,O=C([O-])C1CCC(C(=O)[O-])CC1,1.0,1.0,YES,YES,1.222,YES,YES,YES,YES,YES
Self-RAG,123,386,c1c[nH]cn1,c1nnn[nH]1,0.65,0.0,YES,YES,3.009,YES,YES,NO,NO,NO
Self-RAG,123,387,c1ccc(-c2nnc(-c3ccncc3)[nH]2)nc1,C1=NN=CC1c1ccc(-c2cn[nH]c2)cc1,0.643,0.092,YES,YES,2.3123,YES,YES,NO,NO,NO
Self-RAG,123,388,O=C([O-])c1cccc(-c2c3nc(c(-c4cccc(C(=O)[O-])c4)c4ccc([nH]4)c(-c4cccc(C(=O)[O-])c4)c4nc(c(-c5cccc(C(=O)[O-])c5)c5ccc2[nH]5)C=C4)C=C3)c1,C=CN=CC=CNNC(=O)C1CC(C(=O)[O-])=CC1=CC(=O)[O-],0.367,0.058,YES,YES,1.211,NO,NO,NO,NO,NO
Self-RAG,123,389,O=C([O-])c1cc2c(cc1C(=O)[O-])C(=O)c1ccccc1C2=O,O=CC=CC=CC(=O)c1ccc(C(=O)[O-])c(C(=O)[O-])c1,0.682,0.527,YES,YES,1.2187,YES,YES,NO,NO,NO
Self-RAG,123,390,Cc1cc2ccc3nc(C)ccc3c2cn1,CC=CC1=CC=Cc2cc(-c3cn[nH]c3)ccc2C12C=NN=C2,0.361,0.249,YES,YES,2.2692,NO,NO,NO,NO,NO
Self-RAG,123,391,Nc1nc2ccccc2[nH]1,Nc1nnn[nH]1,0.667,0.156,YES,NO,3.1639,YES,YES,NO,NO,NO
Self-RAG,123,392,O=C([O-])CCC(=O)[O-],O=C([O-])C=CC(=O)[O-],0.643,0.471,YES,YES,0.4839,YES,YES,NO,NO,NO
Self-RAG,123,393,CNC12C3C4C5C3(C#CC(=O)[O-])C1C5(NC)C42C#CC(=O)[O-],CNC12C3C4C5C3(C#CC(=O)[O-])C1C5(NC)C42C#CC(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,123,394,O=C([O-])c1ccc(-c2ccccc2)cc1,C=CC(=CC=CNCC1=CC=CC1)C(=O)[O-],0.269,0.162,YES,YES,0.994,NO,NO,NO,NO,NO
Self-RAG,123,395,CCCOc1c(C(=O)[O-])ccc2c(OCCC)c(C(=O)[O-])ccc12,CCCOc1c(C(=O)[O-])ccc2c(OCCC)c(C(=O)[O-])ccc12INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,123,396,CN1c2cncc(n2)N(C)c2cncc(n2)N(C)c2cncc(n2)N(C)c2cncc1n2,C1=CC2C=CC1CSCc1cccc(c1)CS2,0.189,0.0,YES,YES,3.6061,NO,NO,NO,NO,NO
Self-RAG,123,397,CC(C(=O)[O-])C(=O)[O-],CC(C(=O)[O-])C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,123,398,O=C([O-])C(F)=C(F)C(=O)[O-],O=C([O-])C(F)=C(F)C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,123,399,O=C([O-])c1ccc(Oc2ccc(C(=O)[O-])c(C(=O)[O-])c2)cc1C(=O)[O-],O=C([O-])c1ccc(Oc2ccc(C(=O)[O-])c(C(=O)[O-])c2)cc1C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,999,0,O=C([O-])c1cc[n+]([O-])cc1,O=C([O-])c1cccc(C(=O)[O-])[n+]1[O-],0.794,0.538,YES,NO,0.5083,YES,YES,YES,NO,NO
Self-RAG,999,1,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,1.0,1.0,YES,YES,1.3412,YES,YES,YES,YES,YES
Self-RAG,999,2,O=C([O-])C1C(C(=O)[O-])C(C(=O)[O-])C(C(=O)[O-])C(C(=O)[O-])C1C(=O)[O-],O=C([O-])C1C(C(=O)[O-])C(C(=O)[O-])C(C(=O)[O-])C(C(=O)[O-])C1C(=O)[O-],1.0,1.0,YES,YES,1.7866,YES,YES,YES,YES,YES
Self-RAG,999,3,O=C(O)CC(O)(CC(=O)O)C(=O)[O-],O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],0.857,1.0,YES,NO,1.7925,YES,YES,YES,YES,YES
Self-RAG,999,4,O=C([O-])c1cc(S(=O)(=O)c2ccc(C(=O)[O-])c(C(=O)O)c2)ccc1C(=O)O,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,0.7,0.365,YES,YES,1.0673,YES,YES,YES,NO,NO
Self-RAG,999,5,c1nc[nH]n1,c1cn[nH]n1,0.9,0.0,YES,YES,2.321,YES,YES,YES,YES,YES
Self-RAG,999,6,C1CCSC1,C1CCSC1,1.0,1.0,YES,YES,0.9264,YES,YES,YES,YES,YES
Self-RAG,999,7,O=C([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])c(C(=O)[O-])cc([N+](=O)[O-])c2c1[N+](=O)[O-],O=C([O-])c1ccc(C(=O)[O-])c2cc([N+](=O)[O-])c([N+](=O)[O-])cc12,0.949,0.564,YES,YES,1.0211,YES,YES,YES,YES,YES
Self-RAG,999,8,O=C1C(=O)C(Cl)C(=O)C(=O)C1Cl,O=C1C(=O)C(Cl)C(=O)C(=O)C1Cl,1.0,1.0,YES,YES,1.5704,YES,YES,YES,YES,YES
Self-RAG,999,9,O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,1.0,1.0,YES,YES,1.6729,YES,YES,YES,YES,YES
Self-RAG,999,10,C1CNCCN1,C1CNCCN1,1.0,1.0,YES,YES,0.8306,YES,YES,YES,YES,YES
Self-RAG,999,11,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2cc(F)c(F)cc12,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2ccccc12,1.0,0.902,YES,NO,0.7132,YES,YES,YES,YES,YES
Self-RAG,999,12,O=C1C([N+](=O)[O-])=CC([N+](=O)[O-])C(O)=C1[N+](=O)[O-],O=C1C([N+](=O)[O-])=C[N+]([O-])C=C1[N+](=O)[O-],0.8,0.212,YES,YES,1.2903,YES,YES,YES,NO,NO
Self-RAG,999,13,O=C([O-])c1ccc(C(=O)[O-])c2ccccc12,O=C([O-])c1ccc(C(=O)[O-])cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,999,14,c1nnnn1CCn1cnnn1,O=C(O)c1cncnc1,0.25,0.05,YES,YES,1.4367,NO,NO,NO,NO,NO
Self-RAG,999,15,O=C([O-])c1cc([N+](=O)[O-])c(C(=O)[O-])cc1[N+](=O)[O-],O=C([O-])c1ccc([N+](=O)[O-])cc1,0.879,0.5,YES,YES,0.8911,YES,YES,YES,YES,NO
Self-RAG,999,16,O=C([O-])c1ccccc1C(=O)[O-],O=C([O-])c1cc(C(=O)[O-])c(C(=O)[O-])cc1C(=O)[O-],1.0,0.667,YES,NO,1.2267,YES,YES,YES,YES,YES
Self-RAG,999,17,CCCn1cnc2c1NC=NC2Cl,CCCn1cnc2c1NC=NC2N,0.833,0.925,YES,NO,3.0395,YES,YES,YES,YES,YES
Self-RAG,999,18,O=C([O-])CCN1[CH]C=C(C2=C[CH]N(CCC(=O)[O-])C=C2)C=C1,O=C([O-])c1ccccc1F,0.182,0.117,YES,NO,1.2412,NO,NO,NO,NO,NO
Self-RAG,999,19,O=C([O-])c1cc(C(=O)[O-])cc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)c1,O=C([O-])c1ccc(-c2cc(-c3ccc(C(=O)[O-])cc3)cc(-c3ccc(C(=O)[O-])cc3)c2)cc1,1.0,0.363,YES,YES,1.8497,YES,YES,YES,YES,YES
Self-RAG,999,20,O=C([O-])C=Cc1ccncc1,O=C([O-])[CH][CH]c1ccccn1,0.875,0.545,YES,NO,2.4785,YES,YES,YES,YES,NO
Self-RAG,999,21,O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2)cc1,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2)cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,999,22,C(c1nnn[nH]1)c1nnn[nH]1,O=C(O)CC(O)C(=O)O.O=C([O-])COC(O)C(O)C(O)C(=O)O,0.047,0.027,YES,YES,0.4728,NO,NO,NO,NO,NO
Self-RAG,999,23,O=C([O-])c1cc(O)c(C(=O)[O-])cc1O,O=C([O-])c1ccc(C(=O)[O-])cc1,0.571,0.857,YES,NO,0.5542,YES,YES,YES,YES,NO
Self-RAG,999,24,CCc1c(C#N)c(CC)c(CC)c(C#N)c1CC,CCCc1c(C#N)c(CCC)c(CCC)c(C#N)c1CCINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,999,25,O=C([O-])c1cncc(O)c1,O=C([O-])c1cccnc1C(=O)[O-],0.63,0.75,YES,YES,0.6359,YES,YES,YES,NO,NO
Self-RAG,999,26,O=C([O-])c1cccc(C(=O)[O-])n1,O=C([O-])c1cccnc1C(=O)[O-],0.864,0.75,YES,YES,0.6173,YES,YES,YES,YES,NO
Self-RAG,999,27,O=C([O-])c1cncc(-c2ccccc2C(=O)[O-])c1,O=C([O-])c1cccnc1-c1ncccc1C(=O)[O-],0.852,0.489,YES,YES,1.5356,YES,YES,YES,YES,NO
Self-RAG,999,28,Cc1cc(C#Cc2cc(C)c(C(=O)[O-])c(C)c2)cc(C)c1C(=O)[O-],Cc1cc(-c2ccc(C(=O)[O-])c(C)c2)ccc1C(=O)[O-],0.857,0.41,YES,YES,6.7084,YES,YES,YES,YES,NO
Self-RAG,999,29,c1cn(Cc2cc(Cn3ccnc3)c(Cn3ccnc3)cc2Cn2ccnc2)cn1,c1cc(Cn2ccnc2)cc(Cn2ccnc2)c1,0.889,0.595,YES,NO,1.6111,YES,YES,YES,YES,NO
Self-RAG,999,30,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,O=C([O-])c1ccc(C(=O)[O-])c2ccccc12,0.5,0.441,YES,YES,5.4866,YES,NO,NO,NO,NO
Self-RAG,999,31,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2O)c(O)c1,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,0.581,0.902,YES,YES,3.4639,YES,YES,YES,YES,YES
Self-RAG,999,32,O=C([O-])c1nccnc1C(=O)[O-],O=C([O-])c1cnccn1,0.8,0.75,YES,YES,0.8899,YES,YES,YES,NO,NO
Self-RAG,999,33,COc1cc(C(=O)[O-])ccc1C#Cc1cc(OC)c(C(=O)[O-])cc1-c1ccccc1,CCC=C1C=c2c(C(=O)[O-])cccc2=CC=C1C(=O)[O-],0.417,0.292,YES,YES,1.8647,NO,NO,NO,NO,NO
Self-RAG,999,34,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2c(F)c(F)c(F)c(F)c12,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2ccccc12INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,999,35,O=C([O-])c1cnc(C(=O)[O-])cn1,O=C([O-])c1ccc(C(=O)[O-])nc1,0.87,0.3,YES,NO,1.3659,YES,YES,YES,YES,NO
Self-RAG,999,36,O=C([O-])c1ccc(Oc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2)cc1,O=C([O-])C1=CC=COc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2C=C1,0.714,0.651,YES,YES,0.6643,YES,YES,YES,NO,NO
Self-RAG,999,37,O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1,O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1,1.0,1.0,YES,YES,0.9274,YES,YES,YES,YES,YES
Self-RAG,999,38,O=C([O-])c1cc(F)c(C(=O)[O-])cc1F,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2cc(F)c(F)cc12,0.818,0.638,YES,YES,1.3377,YES,YES,YES,NO,NO
Self-RAG,999,39,[CH](NN[CH]c1ccncc1)c1ccncc1,c1cn(CCCCn2ccnc2)cn1,0.278,0.037,YES,YES,1.4588,NO,NO,NO,NO,NO
Self-RAG,999,40,O=C([O-])c1ccccc1C(=O)O,O=C([O-])c1ccc(C(=O)[O-])cc1,0.8,0.75,YES,NO,3.0335,YES,YES,YES,NO,NO
Self-RAG,999,41,CC(CCC(=O)[O-])C(=O)[O-],CC(CC(=O)[O-])C(=O)[O-],0.812,0.687,YES,YES,2.0419,YES,YES,YES,NO,NO
Self-RAG,999,42,O=C([O-])c1cc(S(O)(O)O)c(C(=O)[O-])c2c1CC2,O=C([O-])c1cc(Cl)c(C(=O)[O-])c2c1CC2,0.422,0.782,YES,YES,3.699,YES,YES,YES,NO,NO
Self-RAG,999,43,CNC1(F)CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2,COC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])C(Cl)C2Cl,0.636,0.821,YES,YES,0.6692,YES,YES,YES,NO,NO
Self-RAG,999,44,Cc1nccn1Cc1ccncc1,c1cn(Cc2ccc(-n3ccnc3)cc2)cn1,0.719,0.394,YES,YES,1.586,YES,YES,YES,NO,NO
Self-RAG,999,45,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,c1ncn(Cc2ccc(Cn3cncn3)cc2)n1,0.733,0.533,YES,NO,1.1297,YES,YES,YES,NO,NO
Self-RAG,999,46,c1cncnc1,c1cnccn1,0.769,0.0,YES,YES,0.8877,YES,YES,YES,NO,NO
Self-RAG,999,47,CCC12C3C4(C(=O)[O-])C5(CC)C(C1(C(=O)[O-])C35[N+](=O)[O-])C24[N+](=O)[O-],N#CC12C3C4([N+](=O)[O-])C5(C#N)C(C14[N+](=O)[O-])C2([N+](=O)[O-])C35[N+](=O)[O-],0.767,0.0,YES,YES,1.5276,YES,YES,YES,NO,NO
Self-RAG,999,48,O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],O=C([O-])CCC(=O)[O-],0.478,0.285,YES,YES,1.3653,NO,NO,NO,NO,NO
Self-RAG,999,49,c1cn(-c2ccc(NNc3ccc(-n4ccnc4)cc3)cc2)cn1,c1cn(-c2ccc(-n3ccnc3)cc2)cn1,0.742,0.453,YES,YES,1.9075,YES,YES,YES,NO,NO
Self-RAG,999,50,Nc1cc(C#Cc2cc(N)c(C(=O)[O-])c(N)c2)cc(N)c1C(=O)[O-],O=C([O-])c1c(O)cc(C=Cc2cc(O)c(C(=O)[O-])c(O)c2)cc1O,0.5,0.41,YES,NO,7.0019,YES,NO,NO,NO,NO
Self-RAG,999,51,CCc1cc2c(cc(CC)c3ccc(C(=O)[O-])c(F)c32)c2cc(C(=O)[O-])ccc12,CCc1cc2cc(C(=O)[O-])cc3c(CC)cc4cc(C(=O)[O-])cc1c4c23INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Self-RAG,999,52,O=C(O)c1cccc(Oc2cccc(C(=O)O)c2C(=O)[O-])c1.O=C(O)c1cccc(Oc2cccc(C(=O)O)c2C(=O)[O-])c1,O=C(O)c1cccc(Oc2cccc(C(=O)[O-])c2C(=O)[O-])c1,0.479,0.5,YES,YES,1.8796,YES,NO,NO,NO,NO
Self-RAG,999,53,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)O)CC(=O)O,O=C([O-])Cn1cnnn1,0.36,0.135,YES,NO,0.6757,NO,NO,NO,NO,NO
Self-RAG,999,54,c1ccc(SSc2ccccn2)nc1,c1cnc(SCSc2ncccn2)nc1,0.667,0.105,YES,NO,0.5445,YES,YES,NO,NO,NO
Self-RAG,999,55,Nc1ccc(C=Cc2ccc(N)cc2S(O)(O)O)c(S(O)(O)O)c1,O=P(O)(O)c1ccc(-c2ccc(P(=O)(O)O)cc2)cc1,0.444,0.246,YES,YES,0.4906,NO,NO,NO,NO,NO
Self-RAG,999,56,O=C([O-])c1cc(C(=O)[O-])c(C(=O)O)cc1C(=O)O,O=C([O-])c1ccc(C(=O)[O-])cc1,0.75,0.667,YES,NO,0.527,YES,YES,YES,NO,NO
Self-RAG,999,57,O=C(Nc1cccnc1)c1ccc(C(=O)Nc2cccnc2)s1,O=C(Nc1ccncc1)c1ccc(C(=O)Nc2ccncc2)cc1,0.781,0.242,YES,NO,1.6297,YES,YES,YES,NO,NO
Self-RAG,999,58,NC1=N[CH]NN1,Nc1nnc(N)[nH]1,0.75,0.229,YES,YES,3.3186,YES,YES,YES,NO,NO
Self-RAG,999,59,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,1.0,1.0,YES,YES,1.4845,YES,YES,YES,YES,YES
Self-RAG,999,60,O=[N+]([O-])c1cncc([N+](=O)[O-])c1C#Cc1c([N+](=O)[O-])cncc1[N+](=O)[O-],N#Cc1cc([N+](=O)[O-])c(C#N)cc1[N+](=O)[O-],0.732,0.137,YES,YES,1.8271,YES,YES,YES,NO,NO
Self-RAG,999,61,O=C([O-])C(O)=C(O)C(=O)[O-],O=C([O-])C(=O)[O-],0.588,0.478,YES,YES,1.6999,YES,NO,NO,NO,NO
Self-RAG,999,62,C(#C[Si](C#Cc1cn[nH]c1)(C#CC1C=NN=C1)C#CC1C=NN=C1)C1=CN=N[CH]1,C(#CC#Cc1cn[nH]c1)C#CC1=CN=N[CH]1,0.828,0.232,YES,YES,5.132,YES,YES,YES,NO,NO
Self-RAG,999,63,O=C([O-])CN1[CH]C=C(c2nnn[nH]2)C=C1,O=C([O-])c1cccc(C(=O)O)n1,0.327,0.17,YES,NO,2.2095,NO,NO,NO,NO,NO
Self-RAG,999,64,Nc1ccccc1S,c1ccc(SCSc2ccccn2)nc1,0.3,0.04,YES,NO,0.4578,NO,NO,NO,NO,NO
Self-RAG,999,65,O=C([O-])c1nc(-c2ccc3ccccc3c2)[nH]c1C(=O)[O-],O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,0.429,0.276,YES,YES,1.2896,NO,NO,NO,NO,NO
